País,Ano,Quantidade (Kg),Valor (US$),Década,Ano_Quantidade,Continente
Áustria,1999,11.337750311696707,13.40166795644539,1990,22664.162873081717,Europa
Áustria,2001,6.647688373563329,0.0,2000,13302.024435500221,Europa
Áustria,2004,7.065613363597717,10.11366743745848,2000,14159.489180649825,Europa
Áustria,2005,7.4318919168078,9.75973264889099,2000,14900.943293199638,Europa
Áustria,2006,7.20934025660291,9.031213706078747,2000,14461.936554745436,Europa
Áustria,2007,7.4318919168078,10.470164069042124,2000,14915.807077033254,Europa
Áustria,2008,9.340403256274351,11.202984150213027,2000,18755.529738598896,Europa
Áustria,2009,7.547501682814967,9.398809659356372,2000,15162.930880775268,Europa
Áustria,2010,7.753623546559746,10.311482790497918,2010,15584.78332858509,Europa
Áustria,2011,8.757469141470748,10.937170132451657,2010,17611.270443497677,Europa
Áustria,2012,8.99949587624899,11.351782059593472,2010,18106.985703012968,Europa
Áustria,2013,10.948171499178683,12.333607972629235,2010,22038.669227846687,Europa
Áustria,2014,7.9269635448629785,10.377140763947736,2010,15964.904579354039,Europa
Áustria,2015,5.8888779583328805,8.266678443305896,2010,11866.089086040754,Europa
Áustria,2016,7.303843225277705,8.929567707825337,2010,14724.547942159852,Europa
Áustria,2017,7.884576510596324,10.111720491114584,2010,15903.190821872786,Europa
Áustria,2018,13.149970762305854,14.265226654866378,2010,26536.640998333212,Europa
Áustria,2019,12.760790745060504,11.762749894865768,2010,25764.03651427716,Europa
Áustria,2020,8.785845337961213,10.86568811391948,2020,17747.40758268165,Europa
Áustria,2021,9.505097358099926,11.862335080209208,2020,19209.80176071995,Europa
Áustria,2022,8.909775673693389,10.896276255383007,2020,18015.56641220803,Europa
Áustria,2023,9.731096524419081,11.887766403534584,2020,19686.0082688998,Europa
Bermudas,2021,2.3978952727983707,4.955827057601261,2020,4846.146346325507,América do Norte
Bermudas,2022,0.6931471805599453,1.6094379124341003,2020,1401.5435990922094,América do Norte
Bermudas,2023,1.9459101490553132,6.779921907472252,2020,3936.576231538899,América do Norte
Bélgica,1992,9.937937287265354,10.327970666480054,1990,19796.371076232586,Europa
Bélgica,1993,6.78332520060396,7.238496840894365,1990,13519.167124803691,Europa
Bélgica,1997,9.531843992903474,11.465582253459708,1990,19035.092453828238,Europa
Bélgica,1998,9.144627828610801,10.618885342030893,1990,18270.96640156438,Europa
Bélgica,1999,8.621733370690162,10.061943238228102,1990,17234.845008009634,Europa
Bélgica,2016,2.0794415416798357,6.994849985833071,2010,4192.154148026549,Europa
Bélgica,2017,8.384118837190895,10.719338973071524,2010,16910.767694614035,Europa
Bélgica,2018,5.099866427824199,7.091742115095153,2010,10291.530451349234,Europa
Bélgica,2019,2.0794415416798357,3.4339872044851463,2010,4198.392472651588,Europa
Bolívia,2007,6.293419278846481,7.207118856207756,2000,12630.892492644887,América do Sul
Bolívia,2023,7.065613363597717,9.298442820197728,2020,14293.735834558182,América do Sul
Bósnia-Herzegovina,2020,7.105786129481271,6.805722553416985,2020,14353.687981552168,Europa
Brasil,2004,7.644440761556566,9.69356866855007,2000,15319.459286159357,América do Sul
Brasil,2005,8.00903068506973,9.905585350618274,2000,16058.10652356481,América do Sul
Brasil,2006,7.983098940710892,9.435721418230584,2000,16014.09647506605,América do Sul
Brasil,2007,8.164510268747042,9.885018036252466,2000,16386.172109375315,América do Sul
Brasil,2008,5.736572297479192,7.478734825567875,2000,11519.037173338218,América do Sul
Brasil,2010,2.0794415416798357,5.4510384535657,2010,4179.67749877647,América do Sul
Brasil,2011,4.543294782270004,7.060476365999801,2010,9136.565807144978,América do Sul
Brasil,2012,6.9584483932976555,9.61693817168028,2010,14000.398167314883,América do Sul
Brasil,2013,6.161207321695077,8.656607247198915,2010,12402.51033857219,América do Sul
Brasil,2014,6.1092475827643655,8.701512750872865,2010,12304.024631687433,América do Sul
Brasil,2015,7.215239978730097,9.466531777336593,2010,14538.708557141146,América do Sul
Brasil,2016,5.214935757608986,7.662937850461535,2010,10513.310487339715,América do Sul
Brasil,2017,13.647822999971966,12.468959850163696,2010,27527.658990943455,América do Sul
Brasil,2018,9.800402224452803,11.71019310387089,2010,19777.211688945757,América do Sul
Brasil,2019,10.285206266914292,12.413123399611125,2010,20765.831452899954,América do Sul
Brasil,2020,8.3774712482411,10.626533283441937,2020,16922.491921447025,América do Sul
Brasil,2021,9.441690159837492,10.592049235754445,2020,19081.65581303157,América do Sul
